"WIRC-message-type"	"Event"	"Origin"	"Not-Displayed"	"Param-1"	"Param-2"	"Nick"	"Color"	"Destination"
	"NOTICE"	"NULL"		"AUTH"		"[]"	1	"server"
	"#"	"<host>"		"<active-nick>"		"*"	1	"server"
	"NOTICE"	"NULL"		"<active-nick>"		"[]"	1	"server"
	"NOTICE"	"NickServ!"		"<active-nick>"		"***"	2	"server"
	"MODE"	"NickServ"				"***"	2	"server"
	"CONNECT"	"<host>"	"X"					
	376	"<host>"	"X"					
	"JOIN"	"<nick>!"				"-->"	2	"channel"
	"PART"	"<nick>!"				"<--"	2	"channel"
	"QUIT"	"<nick>!"				"<--"	2	"channel"
	"NOTICE"	"<nick>!"		"<channel>"		"[<nick>]"	1	"channel"
	"NOTICE"	"<nick>!"		"<active-nick>"		"[<nick>]"	1	"query"
	"ACTION"	"<nick>!"		"<channel>"		"-*-"	3	"channel"
	"ACTION"	"<nick>!"		"<active-nick>"		"-*-"	3	"query"
	"TOPIC"	"<nick>!"		"<channel>"		"*"	2	"channel > server"
	332	"<host>"		"<active-nick>"	"<channel>"	"*"	2	"channel > server"
	333	"<host>"		"<active-nick>"	"<channel>"	"*"	2	"channel > server"
	"NICK"	"<nick>!"				"<->"	2	"channel"
	"KICK"	"<nick>!"		"<channel>"		"<-*"	2	"channel"
